ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
30,353d35m55.6s,-36d05m8.4s,183,168,178,0,,,10198.04
31,353d35m55.8s,-36d05m19.9s,40,32,37,0,,,10198.49
32,353d35m56.5s,-36d05m38.9s,190,69,150,45,,,10199.22
33,353d35m56.8s,-36d05m38.8s,122,0,81,0,,,10199.21
34,353d35m56.9s,-36d05m20.2s,21,16,19,0,,,10198.48
35,353d35m56.9s,-36d05m36.9s,28,20,25,0,,,10199.13
36,353d35m57.0s,-36d06m23.0s,91,73,85,-20,,,10200.94
37,353d35m57.2s,-36d05m56.6s,53,30,45,0,,,10199.90
38,353d35m58.3s,-36d05m18.8s,43,33,40,-90,,,10198.39
39,353d35m58.3s,-36d05m37.8s,30,28,30,0,,,10199.14
40,353d35m58.6s,-36d06m19.0s,53,26,44,60,,,10200.75
41,353d35m58.6s,-36d06m16.9s,51,44,49,0,,,10200.67
42,353d35m58.8s,-36d05m56.5s,38,17,31,20,,,10199.86
43,353d35m59.0s,-36d06m43.7s,201,155,186,-90,,,10201.71
44,353d35m59.1s,-36d06m30.9s,111,90,104,-20,,,10201.20
45,353d35m59.7s,-36d06m9.4s,31,26,29,0,,,10200.35
46,353d35m59.8s,-36d06m33.6s,254,124,211,-20,,,10201.30
47,353d36m0.2s,-36d05m20.7s,27,16,23,-90,,,10198.42
48,353d36m0.3s,-36d06m22.1s,119,73,104,10,,,10200.83
49,353d36m0.5s,-36d05m40.0s,55,46,52,-90,,,10199.18
50,353d36m0.8s,-36d06m18.2s,87,70,82,0,,,10200.67
51,353d36m0.9s,-36d06m16.2s,77,74,76,0,,,10200.59
52,353d36m1.0s,-36d05m23.0s,50,31,43,15,,,10198.50
53,353d36m1.2s,-36d06m28.7s,111,90,104,-70,,,10201.07
54,353d36m1.3s,-36d06m8.8s,66,36,56,-60,,,10200.29
55,353d36m1.5s,-36d05m59.1s,90,53,78,-20,,,10199.90
56,353d36m1.7s,-36d05m21.6s,92,51,78,0,,,10198.43
57,353d36m1.7s,-36d06m13.3s,23,17,21,20,,,10200.46
58,353d36m2.0s,-36d05m30.4s,34,18,28,0,,,10198.77
59,353d36m2.2s,-36d06m14.7s,32,23,29,0,,,10200.50
60,353d36m2.4s,-36d05m17.5s,43,43,43,0,,,10198.25
61,353d36m3.1s,-36d06m15.5s,26,23,25,-90,,,10200.51
62,353d36m3.6s,-36d05m56.0s,15,8,13,0,,,10199.74
63,353d36m3.7s,-36d06m7.9s,87,77,83,0,,,10200.20
64,353d36m3.9s,-36d05m44.5s,69,64,67,-90,,,10199.28
65,353d36m3.9s,-36d05m56.5s,8,8,8,0,,,10199.75
66,353d36m3.9s,-36d06m12.0s,66,26,53,-20,,,10200.36
67,353d36m4.2s,-36d06m6.4s,79,58,72,10,,,10200.13
68,353d36m4.3s,-36d05m57.7s,13,11,12,-90,,,10199.79
69,353d36m4.3s,-36d06m26.7s,101,46,82,70,,,10200.93
70,353d36m4.7s,-36d07m1.5s,75,40,63,50,,,10202.28
71,353d36m4.8s,-36d06m15.7s,36,28,33,0,,,10200.48
72,353d36m5.8s,-36d06m7.1s,28,23,26,0,,,10200.13
73,353d36m5.8s,-36d05m21.2s,28,0,19,0,,,10198.32
74,353d36m5.8s,-36d05m21.3s,31,26,29,0,,,10198.33
75,353d36m5.9s,-36d05m46.7s,51,51,51,0,,,10199.32
76,353d36m5.9s,-36d06m15.9s,72,38,61,-60,,,10200.47
77,353d36m6.1s,-36d05m39.6s,62,58,61,-90,,,10199.04
78,353d36m6.2s,-36d06m11.9s,50,21,40,0,,,10200.31
79,353d36m6.5s,-36d06m10.0s,53,30,45,-50,,,10200.22
80,353d36m6.5s,-36d05m57.6s,30,23,28,-40,,,10199.74
81,353d36m6.8s,-36d05m45.3s,66,49,60,-90,,,10199.25
82,353d36m6.8s,-36d06m52.6s,59,40,53,-80,,,10201.89
83,353d36m7.0s,-36d05m18.5s,35,30,33,-90,,,10198.19
84,353d36m7.1s,-36d06m2.3s,85,53,74,-10,,,10199.91
85,353d36m7.2s,-36d05m56.2s,28,23,26,0,,,10199.67
86,353d36m7.3s,-36d05m54.6s,32,32,32,0,,,10199.60
87,353d36m7.3s,-36d06m10.8s,80,37,65,10,,,10200.24
88,353d36m7.3s,-36d05m20.0s,58,37,51,-90,,,10198.24
89,353d36m8.1s,-36d06m5.8s,12,12,12,0,,,10200.02
90,353d36m8.2s,-36d06m49.2s,79,51,70,-30,,,10201.72
91,353d36m8.4s,-36d06m6.3s,40,21,33,0,,,10200.03
92,353d36m8.4s,-36d06m11.8s,20,16,18,0,,,10200.25
93,353d36m9.0s,-36d06m27.5s,66,40,57,-70,,,10200.86
94,353d36m9.1s,-36d06m39.2s,110,55,91,-30,,,10201.31
95,353d36m9.1s,-36d06m4.5s,68,62,66,0,,,10199.95
96,353d36m9.2s,-36d06m42.5s,89,82,87,0,,,10201.44
97,353d36m9.2s,-36d06m17.7s,19,19,19,0,,,10200.47
98,353d36m9.4s,-36d06m21.5s,79,79,79,0,,,10200.61
99,353d36m9.6s,-36d06m17.2s,64,57,62,0,,,10200.44
100,353d36m9.7s,-36d06m35.3s,39,28,35,-90,,,10201.15
101,353d36m9.9s,-36d05m44.2s,26,26,26,0,,,10199.14
102,353d36m10.1s,-36d05m37.0s,192,165,183,0,,,10198.85
103,353d36m10.4s,-36d06m23.6s,62,53,59,-90,,,10200.67
104,353d36m10.4s,-36d06m7.1s,62,44,56,0,,,10200.02
105,353d36m10.5s,-36d05m44.5s,26,17,23,10,,,10199.14
106,353d36m10.6s,-36d06m10.2s,21,20,21,0,,,10200.14
107,353d36m10.6s,-36d07m5.1s,93,84,90,0,,,10202.30
108,353d36m10.6s,-36d05m58.1s,84,71,80,0,,,10199.67
109,353d36m10.9s,-36d06m18.0s,30,28,29,0,,,10200.44
110,353d36m11.3s,-36d06m34.5s,28,28,28,0,,,10201.08
111,353d36m11.4s,-36d05m49.6s,175,76,142,60,,,10199.32
112,353d36m11.8s,-36d06m34.9s,30,28,30,-90,,,10201.08
113,353d36m11.8s,-36d06m33.1s,28,27,28,-90,,,10201.01
114,353d36m11.8s,-36d06m30.8s,18,12,16,0,,,10200.92
115,353d36m12.0s,-36d06m19.0s,36,34,35,0,,,10200.45
116,353d36m12.0s,-36d06m30.0s,35,23,31,-90,,,10200.89
117,353d36m12.4s,-36d05m20.6s,51,25,43,0,,,10198.16
118,353d36m12.5s,-36d06m27.5s,26,26,26,0,,,10200.78
119,353d36m12.5s,-36d06m32.4s,23,23,23,0,,,10200.97
120,353d36m12.7s,-36d06m9.4s,34,30,33,0,,,10200.06
121,353d36m12.9s,-36d05m44.1s,23,17,21,-90,,,10199.07
122,353d36m12.9s,-36d06m14.0s,154,57,122,-50,,,10200.24
123,353d36m13.2s,-36d06m6.8s,75,53,68,80,,,10199.95
124,353d36m13.3s,-36d06m31.7s,27,11,21,-50,,,10200.93
125,353d36m13.4s,-36d06m26.2s,53,32,46,-90,,,10200.71
126,353d36m13.5s,-36d06m27.4s,28,28,28,0,,,10200.75
127,353d36m13.5s,-36d06m27.0s,49,23,40,0,,,10200.73
128,353d36m13.6s,-36d05m43.5s,55,28,46,0,,,10199.03
129,353d36m14.1s,-36d06m33.0s,41,28,37,-90,,,10200.96
130,353d36m14.1s,-36d06m30.8s,30,26,28,0,,,10200.87
131,353d36m14.6s,-36d06m17.3s,77,72,75,0,,,10200.33
132,353d36m14.7s,-36d05m27.8s,108,90,102,10,,,10198.39
133,353d36m14.9s,-36d06m24.0s,45,19,36,50,,,10200.59
134,353d36m15.0s,-36d06m31.6s,14,12,14,-90,,,10200.89
135,353d36m15.0s,-36d06m31.1s,12,9,11,0,,,10200.86
136,353d36m15.1s,-36d06m11.0s,62,35,53,0,,,10200.07
137,353d36m15.1s,-36d06m33.2s,28,26,27,-90,,,10200.94
138,353d36m15.2s,-36d06m33.9s,31,26,29,0,,,10200.97
139,353d36m15.4s,-36d06m7.4s,24,19,22,0,,,10199.93
140,353d36m15.6s,-36d06m15.1s,79,53,71,-50,,,10200.23
141,353d36m15.7s,-36d06m34.4s,20,18,20,-90,,,10200.98
142,353d36m15.9s,-36d06m35.2s,20,15,19,0,,,10201.00
143,353d36m16.0s,-36d05m17.5s,58,52,56,-90,,,10197.95
144,353d36m16.2s,-36d06m39.9s,57,32,49,40,,,10201.18
145,353d36m16.9s,-36d05m20.3s,15,12,14,0,,,10198.05
146,353d36m16.9s,-36d06m36.1s,57,26,47,-80,,,10201.02
147,353d36m17.7s,-36d05m21.3s,38,25,34,0,,,10198.07
148,353d36m18.1s,-36d06m8.2s,59,36,52,-40,,,10199.90
149,353d36m18.2s,-36d06m16.4s,36,32,35,-90,,,10200.22
150,353d36m18.3s,-36d06m33.0s,27,20,24,-90,,,10200.87
151,353d36m18.6s,-36d06m11.3s,46,31,41,0,,,10200.01
152,353d36m18.7s,-36d06m2.4s,183,145,170,-90,,,10199.66
153,353d36m19.1s,-36d05m16.8s,18,13,16,-10,,,10197.86
154,353d36m19.2s,-36d05m55.2s,297,71,222,-10,,,10199.36
155,353d36m19.3s,-36d05m47.7s,126,124,125,0,,,10199.07
156,353d36m19.5s,-36d06m51.7s,188,91,156,60,,,10201.58
157,353d36m19.5s,-36d06m39.2s,110,51,91,70,,,10201.08
158,353d36m19.9s,-36d05m17.4s,35,19,30,-10,,,10197.86
